;id_lancamento;id_centro_custo;id_forma_pagamento;dt_vencimento;valor;dt_pagamento;dt_competencia;ds_periodicidade;id_centro_resultado
0;47152863;125737;236252;2024-10-31;-125.49;;30/11/2024;;288
1;46975400;32;236252;2024-10-31;-209.13;;31/10/2024;;902
2;45298801;125737;236252;2024-09-24;418.28;;24/09/2024;;288
3;45298820;125737;236252;2024-09-24;418.28;;24/09/2024;;288
4;45298784;125737;236252;2024-09-24;125.49;;24/09/2024;;288
5;45298827;32;236252;2024-09-24;209.13;;24/09/2024;;902
6;45298779;125736;236252;2024-09-24;418.28;;24/09/2024;;268
7;45808912;32;402884;2024-09-30;-4280.47;2024-09-30;30/09/2024;;902
8;45095152;81044;402884;2024-09-20;-800.0;2024-09-19;18/09/2024;;204
9;48102081;81044;402884;2024-11-19;-900.0;2024-11-19;19/11/2024;;204
10;45095379;32;402884;2024-09-20;-3540.64;2024-09-19;18/09/2024;;902
11;46613124;32;402884;2024-11-22;-4023.0;2024-11-21;15/10/2024;;902
12;21079111;0;402853;2024-09-05;-3.17;;2024-09-05;M1;100
13;44860426;32;403011;2024-12-06;-2869.73;;06/12/2024;M1;902
14;44860428;32;403011;2025-02-06;-2869.73;;06/12/2024;M1;902
15;44860427;32;403011;2025-01-06;-2869.73;;06/12/2024;M1;902
16;44831103;0;472504;2024-11-06;-405.29;;2024-11-06;M1;100
17;44831102;0;472504;2024-10-06;-405.29;;2024-10-06;M1;100
18;44831101;0;472504;2024-09-06;-405.29;;2024-09-06;M1;100
19;46455351;0;402853;2024-10-15;-1.1400000000000001;2024-10-15;2024-10-15;;100
20;44443951;0;402856;2024-10-02;-121.6;2024-10-02;2024-09-01;;100
21;45333040;32;402853;2024-10-04;-229.85;2024-10-04;07/10/2024;;902
22;27825066;0;402856;2024-10-08;-79.99;;2024-10-08;M1;100
23;27825065;0;402856;2024-09-08;-79.99;;2024-09-08;M1;100
24;45937583;125736;236252;2024-10-15;-740.46;;01/09/2024;;268
25;45937616;32;236252;2024-10-15;-341.66;;01/09/2024;;902
26;45937590;125737;236252;2024-10-15;-499.73;;01/09/2024;;288
27;45937623;0;236252;2024-10-15;-2173.5;;2024-09-01;;100
28;45937635;125736;236252;2024-10-15;-724.5;;01/09/2024;;268
29;45937636;125736;236252;2024-10-15;-1276.5;;01/09/2024;;268
30;45937624;81044;236252;2024-10-15;-13932.86;;01/09/2024;;204
31;45937866;125736;236252;2024-10-15;-118.68;;01/09/2024;;268
32;45937855;81044;236252;2024-10-15;-2700.0;;01/09/2024;;204
33;45938000;32;236252;2024-10-15;-5963.47;;01/09/2024;;902
34;45937898;125736;236252;2024-10-15;-568.75;;01/09/2024;;268
35;45937930;32;236252;2024-10-15;-573.88;;01/09/2024;;902
36;45937885;0;236252;2024-10-15;-3019.48;;2024-09-01;;100
37;45938019;125736;236252;2024-10-15;-653.7;;01/09/2024;;268
38;45938008;0;236252;2024-10-15;-2652.46;;2024-09-01;;100
39;45938010;81044;236252;2024-10-15;-707.36;;01/09/2024;;204
40;45938134;81044;236252;2024-10-15;-19.8;;01/09/2024;;204
41;45938132;0;236252;2024-10-15;-59.4;;2024-09-01;;100
42;45938098;125737;236252;2024-10-15;-221.24;;01/09/2024;;288
43;45938211;125737;236252;2024-10-15;-7329.54;;01/09/2024;;288
44;45938196;81044;236252;2024-10-15;-2000.46;;01/09/2024;;204
45;45938352;32;236252;2024-10-15;-278.25;;01/09/2024;;902
46;44309713;125737;402853;2024-09-17;-241.96;2024-09-17;02/09/2024;;288
47;44324746;125736;402853;2024-09-17;-23.07;2024-09-17;02/09/2024;;268
48;44324747;125737;402853;2024-09-17;-23.07;2024-09-17;02/09/2024;;288
49;44324760;125737;402853;2024-10-18;-1.13;2024-10-18;02/09/2024;;288
50;44324757;81044;402853;2024-10-18;-2.25;2024-10-18;02/09/2024;;204
51;44384052;32;402853;2024-09-12;-301.7;2024-09-12;02/09/2024;;902
52;44384040;125737;402853;2024-09-12;-85.9;2024-09-12;02/09/2024;;288
53;44568550;81044;402853;2024-09-16;-1847.21;2024-09-16;01/09/2024;;204
54;44524154;0;402853;2024-09-05;-11.98;2024-09-05;2024-09-06;;100
55;44721592;125736;402884;2024-09-11;-11032.4;2024-09-11;09/09/2024;;268
56;44149212;125736;402853;2024-09-06;-552.0;2024-09-06;09/09/2024;;268
57;44828489;32;402853;2024-09-16;-6.08;2024-09-16;06/09/2024;;902
58;44828483;125737;402853;2024-09-16;-12.17;2024-09-16;06/09/2024;;288
59;45065542;81044;402853;2024-10-09;-9113.69;2024-10-09;09/09/2024;;204
60;45065546;125736;402853;2024-10-09;-1215.16;2024-10-09;09/09/2024;;268
61;45065554;32;402853;2024-10-09;-607.58;2024-10-09;09/09/2024;;902
62;45153954;32;402853;2024-09-17;-8820.5;2024-09-17;18/09/2024;;902
63;45129987;81044;402884;2024-10-04;-1321.0;2024-10-03;18/09/2024;;204
64;45154061;81044;402853;2024-09-17;-5843.25;2024-09-17;18/09/2024;;204
65;45154066;125736;402853;2024-09-17;-987.79;2024-09-17;18/09/2024;;268
66;45294311;125737;402853;2024-09-18;-15.17;;18/09/2024;;288
67;45294317;32;402853;2024-09-18;-7.59;;18/09/2024;;902
68;45293775;125737;402853;2024-09-24;-1549.18;;24/09/2024;;288
69;45293766;81044;402853;2024-09-24;-3831.9;;24/09/2024;;204
70;45293804;32;402853;2024-09-24;-1094.83;;24/09/2024;;902
71;45343567;125737;402853;2024-10-25;-66.33;2024-10-25;25/09/2024;;288
72;45343563;125736;402853;2024-10-25;-63.95;2024-10-25;25/09/2024;;268
73;45595700;0;402853;2024-09-30;-10.09;2024-09-30;2024-09-30;;100
74;30300612;32;402853;2024-10-18;-2000.0;2024-10-18;01/10/2024;;902
75;32822643;32;402856;2024-09-01;-3253.75;;01/09/2024;M1;902
76;45904859;0;236252;2024-09-30;593.61;;2024-09-30;;100
77;45904875;32;236252;2024-09-30;60.37;;30/09/2024;;902
78;45904881;32;236252;2024-09-30;170.83;;30/09/2024;;902
79;45905642;0;236252;2024-09-30;579.6;;2024-09-30;;100
80;45905643;0;236252;2024-09-30;289.8;;2024-09-30;;100
81;45905662;32;236252;2024-09-30;362.25;;30/09/2024;;902
82;45905657;32;236252;2024-09-30;72.45;;30/09/2024;;902
83;45905243;32;236252;2024-09-30;401.33;;30/09/2024;;902
84;45905231;32;236252;2024-09-30;200.67;;30/09/2024;;902
85;45905233;32;236252;2024-09-30;207.67;;30/09/2024;;902
86;45905244;32;236252;2024-09-30;834.8;;30/09/2024;;902
87;45905217;0;236252;2024-09-30;659.12;;2024-09-30;;100
88;45904985;32;236252;2024-09-30;45.56;;30/09/2024;;902
89;45904981;32;236252;2024-09-30;201.02;;30/09/2024;;902
90;45904983;32;236252;2024-09-30;100.51;;30/09/2024;;902
